Medicine,Condition,Review
Exenatide,"Diabetes, Type 2","""Been on it for ten years sugars are normal now. Plus the first seven months  I lost 100 lbs. In the 10 years     since  weight has stabilized  at 90 lbs   loss. NEVER came back. 5&#039;7&quot; 148 lbs, can eat too!"""
Empagliflozin,"Diabetes, Type 2","""has anyone heard of bladder cancer as a  result of taking Jardiance ? I am been treated for early stages of it"""
Pioglitazone,"Diabetes, Type 2","""Used to get hallucinations at times in the night after using pioglitazone. Scary side effect. My doctor changed me over to a different combination."""
Byetta,"Diabetes, Type 2","""I&#039;ve been on Byetta for a month now and have lost 15 lbs.  This is great.  My sugars have gone down as well.  My only problem right now is getting used to the nausea."""
Canagliflozin,"Diabetes, Type 2","""Starting taking Invokana 100mg along with my 1000mg Metformin on 4-2-16. By 4-12-16 I had the worst yeast infection I&#039;d ever had.  Did the treatment for 3 days, didn&#039;t ever really feel regular. Now today I have another yeast infection.  In everyone&#039;s experience, does this side effect go away after a certain amount of time on the medication, or keep coming back all the time?  My doctor&#039;s promises of this assisting with weight loss and severe edema in my ankles and feet have not come to fruition either.  I am only willing to continue to suffer if I know that this ends after a month or so on the meds."""
Humulin R U-500 (Concentrated),"Diabetes, Type 1","""Only improvement would be a pen"""
Liraglutide,"Diabetes, Type 2","""Been using Victoza for 1 month, down 25lbs.
Was nauseous at first but got Zofran, took with the shot, works great."""
Liraglutide,"Diabetes, Type 2","""I have been on Victoza for about 3 months. I had been on Metformin, but I had the unusual side effect of it making my fingers swell.  Then I tried Byetta and after a couple of months, my fingers swelled to such a serious degree I had to get off all medicines and I tried controlling my levels with just diet. My sugars started going up and I tried Victoza. 

It has worked beautifully for me. I have to take the Victoza right before I eat because otherwise I have bad cramping, so if someone is getting cramping, they could try taking it before a meal and see if it helps. Have only lost 5 lbs."""
Nateglinide,"Diabetes, Type 2","""Does not work. Does not lower blood sugar.(Zydus Mfg.)
Have been using Par Mfg with no problem."""
Victoza,"Diabetes, Type 2","""My husband took victoza and metformin together as recommended by his diabetic nurse. He had always been on  metformine but as soon as he started taking victoza my husband started feeling sick, stomach cramps and getting eggy burbs. This would happen once a month for the whole yr he took it. He&#039;d take time off work being sick because if the sickly symptoms.  I&#039;m so convinced that this is what gave my husband cancer of the upper stomach and esophagus. His life was was taken away from him too soon (42 yrs old) leaving behind a broken and devastated wife, 2yr old and at the time a 6month old baby.  Did  anyone else has experience  anything like this?"""
Insulin degludec,"Diabetes, Type 1","""Type 1 diabetes for 33 years.  I try to take meticulous control of my diabetes but it is always difficult to control my blood sugars.  Having tried both Lantus and Levemir, and not wanting to go on a pump again, I tried Tresiba.  Tresiba is just like being on a pump, except for my required injuections of novolog before food intake.  Sugars consistently run in the low 100s to 125.  Now I feel like my blood sugar needs to be corrected if it gets to 170.  On both Lantus and Levemir I would&#039;ve been content with a reading of 170.  Tresiba is like being on a pump without the pump.  It will take at least 8 days to get your Tresiba dosage correct, do not give up.  My sugars were in the 300s while converting from Levemir to Tresiba."""
Glipizide,"Diabetes, Type 2","""Within a few days of starting on a daily dose of 5mg I began having gas to the point that it was embarrassing and had trouble falling asleep every night.  Gave up on Glipizide after a month and focused on eating better and getting more exercise instead."""
Liraglutide,"Diabetes, Type 2","""I started Victoza 2 weeks ago with the 0.6 dose for four days and then increased to 1.2. On about day 10 I had a rough day of feeling sick to my stomach. Stayed home from work and slept it off.  Since then I have some feelings of mild stomach sickness, but I find if I just get busy I forget.  I have lost about 5 lbs but most importantly my blood sugars are down in the 110 to 120 range with morning spikes at 150. Far better than the 190  I was running all the time.  There are times when I feel full and eat less, not always, but this is giving me a real opportunity to re-evaluate my portions at meal time.  I hope the medicine continues to work and if I can lose about 40 lbs, keep it off, manage my food, I must just be able to control type 2!"""
Victoza,"Diabetes, Type 2","""I&#039;ve been on Victoza for 3 weeks and have lost over 10 lbs. The nausea wasn&#039;t that bad for me I started at 0.6 then 1.2 the second week and now for the 3rd week I&#039;m at 1.8. I can only eat small amounts and at times have to force myself to eat. I&#039;m still watching what I eat and stick to natural foods and not processed or junk. I&#039;m hoping this continues for the long term. I hear that it can lose it&#039;s effectiveness after a while. I&#039;m hoping that doesn&#039;t happen with me. Plus I&#039;m training myself to eat small amounts and good food so hopefully that will help in the long run."""
ActoPlus Met,"Diabetes, Type 2","""I have been taking ActosPlus Met 15/850 for Type 2 Diabetes for approximately 3 years.  My HbA1C has been steady between 6.0 and 6.3.  If I&#039;m having side-effects, they are not noticeable.  The price, however, must put a smile on the pharmaceutical company CEO&#039;s face.  It would be nice to see it go generic!"""
Liraglutide,"Diabetes, Type 2","""Recently diagnosed with type 2 diabetes and started out with metformin. Metformin did nothing to control my blood sugar. Was put on Victoza and within 3 days blood sugars were normal but have terrible indigestion with horrible rotten egg smell. Got to talk to my doc about that. But I have lost 30 pounds in 2 months while on Victoza. No nausea. But I don&#039;t have an appetite which has caused me to eat way less food. Im taking the 1.6 mg dose. Overall satisfied with the medicine but I have read reports of a lot of people getting cancer in their pancreas and thyroids."""
Tresiba,"Diabetes, Type 2","""I have only been taking tresiba for 3 days (43 units in the morning) but my readings are quite a bit lower after meals and I am using less of my novalog. The fluctuation of highs to normal isn&#039;t so frequent and is staying more stable and in a healthy range. No nausea, headaches or any side effects. I will say that I tried victoza last year and that stuff was like poison. The nausea and migraines were unbearable. I have never tried Lantus"""
Liraglutide,"Diabetes, Type 2","""I have been using Victoza for 5 weeks. Weight loss has been good but my sugar levels are dropping, but not as fast as have read about anyone else having the same results."""
Canagliflozin,"Diabetes, Type 2","""I&#039;ve only been known diabetic type 2 for 6 months now.  I take Janumet, invokana. The only side effect I have is frequent urination and lots of gas and really lot sounds of digestion.  Anyone else?"""
Sitagliptin,"Diabetes, Type 2","""Although only taking it for 3 months now -- I basically feel a lot better and the sugars are at a moderate level to lower. I do not feel as hungry as I usually do. There has been some problems with constipation, though not bad."""
Victoza,"Diabetes, Type 2","""Yea! Lets put Antifree in our body! Doctor want me to take it. Look up the inactive crap your putting in your body What are the ingredients in Victoza? Propylene glycol! Phenol (paint stripper) No thanks. Its all money and killing us!

Active Ingredient: liraglutide

Inactive Ingredients: disodium phosphate dihydrate, propylene glycol, phenol and water for injection"""
Metformin,"Diabetes, Type 2","""Been taking 1000mg a day for about a week. No side effects and my blood glucose levels are around 150 now. I&#039;m Full sooner and hoping for some weight loss. Took Trulicity prior and was sick an entire week from one shot!"""
Liraglutide,"Diabetes, Type 2","""I have been on Victoza since February 2015.  I have lost over 60 lbs.  I have had no side effects other than black and blue at the injection site.  I was also taking Farxiga with the Victoza.  Had stupid side effects with Farxiga, runny nose constantly.  I am now off of Farxiga and just taking Victoza.  For me personally Victoza it is great."""
Victoza,"Diabetes, Type 2","""I absolutely do NOT recommend this medication! I tried it to help with some weight loss along with lowering my blood sugar. I only got through 2 doses. I immediately suffered from nausea and headaches the first day. The second night on victoza, I awoke with severe stomach pain and began throwing up. Throughout the next day I felt miserable. Headaches, achy, low energy, and puking everything I tried to put in my body. I ended up in the ER that night dehydrated. Due to the severe stress on my body, I ended up with ketoacidosis. I spent 3 days in the hospital. It was the worst experience I have ever suffered due to a medication. Please do your research before taking this medication."""
Empagliflozin,"Diabetes, Type 2","""I have been diabetic type 2 for 10 years and was under control with diet and exercise plus medication but this year glucose level has been slightly high so the doctor added the Empagliflozin 10mg one daily. The first week I was experiencing headache and weak in the legs stayed in bed went to bathroom more than frequently. After a week this settled down and I lost a few pounds in my weight. However I started getting yeast infection around my stomach and on the backside which was uncomfortable. stayed on the tablets for one month and the yeast infection remained so doctor discontinued the tablets. The medication side effects out weigh the benefits."""
Exenatide,"Diabetes, Type 2","""I&#039;ve been on Bydureon for a year now. My HbA1c is running between 5.5 and 6.6. Every once in a while I will have nausea.  But rarely. The diarrhea isn&#039;t to bad and counter that with Imodium ad. Weight lose has stopped. Was 295lbs when I first started Bydureon a year ago. I am now stuck at 275. But Thanksgiving and Christmas, I&#039;m sure didn&#039;t help any. I&#039;m back on my strict diet. Of salads and turkey and tuna. So I&#039;m sure to lose more weight, from where I don&#039;t know because I&#039;m in decent shape. My blood sugars run from as low as 74 all the way up to 200. But mainly stay around 80 to 130.  It has gotten more expensive for me. I was paying $20 a month. Now it has jumped to $150 a month."""
Liraglutide,"Diabetes, Type 2","""When I first started Victoria I got very sick.  I waited a week and tried it again. This time I made sure I had very light food. I had bought some pudding and jello (sugar free). I also had some ginger ale on hand because that settles my stomach. Started with the .6 and had nausea for the first 4 days. Then felt fine. Then went to the 1.2 again nausea for 4 days. Now I am doing the 1.8. I have lost 13 lbs in 6 weeks and I feel great. I also have been drinking a lot of water to help with the constipation. Thank-you Victoza."""
Tresiba,"Diabetes, Type 2","""I&#039;ve been on tresiba for 6months.
Along with victoza 
For my t2 
While my a1c has went from above16 down to an 8 in the first 3 months I&#039;ve gained 30lbs and I suffer horrible diahria 
On the days I forget to take my shots I don&#039;t suffer.I also have to be treated for constant uti since I&#039;ve been on the tresiba. I&#039;ve been on victoza 2 years now
Not sure if anyone else has a side effect of this or if it&#039;s another condition but I&#039;m suffering from joint pain that continues to get worse"""
Dulaglutide,"Diabetes, Type 2","""3 month update on Trulicity.  When I started my A1C was at 8 in January. I did have some aches, nasuea, heartburn and headaches.  At the end of the three months I&#039;ve lost ten pounds my A1C dropped to 6.  From reading other people&#039;s experiences and results I realize that everyone&#039;s body and results are different. I wish my A1C was lower but, I will definitely take it.  As of right now I have no longer had nasuea or heartburn. I will continue to work on my diet and make better choices and hopefully next time my A1C will be at a comfortable level."""
Victoza,"Diabetes, Type 2","""I started this medication one week ago. I was apprehensive to start but I did. I  41 year old female with Type II diabetes. I was diagnosed 7 years ago. I have always had fairly good control but my fasting levels are always difficult to manage. The first night, I was very nauseous! I could not even smell food and I ate sprite and apple sauce for dinner. The next day, I noticed a decrease in appetite but no nausea. I did wake up with headaches for the first 3 days. My numbers have greatly improved! Even my fasting numbers, which were my toughest to control are now under 105; this was never possible before.  I have lost 1-2 pounds so far. I do not feel hungryand I fill up faster. I do not have the cravings that I had and can turn away dessert"""
Victoza,"Diabetes, Type 2","""My HbAC1 was at 8.5 and I tried many medicine for 4 years and without great success.   I started using Victoza 7 weeks ago.   First 2 weeks, I used 0.6mg and it did not do much for me, hardly noticed the difference.    I increased to 1.2mg the following week.   I try to remember, but I did not remember much side effect.   I did have bruising at the injection site about 4 times, if you even call that side effect.   The morning blood sugar came normal around 7.2.   I lost only 2 kilograms(4 lb) for the fist 30 days.    On the fifth week, I went to 1.8mg.   Now I really start to feel there is no appetite.   I eat every 2 hours for some fruit or other little snacks.   Now, I do have trouble sleeping, but I can live with that.   a total 9lb now"""
Victoza,"Diabetes, Type 2","""I started this about a week and half ago and I haven&#039;t had any nausea a little dizziness or more of an off balance feeling. Went to the doctor today and am already down 6 pounds! She upped my dose to the 1.2 and after reading the reviews I am a little worried with the side affects seeing how they didn&#039;t really affect till they increased in the dose. My sugar has seen a little decrease but still needs some work. My appetite has also decreased. Thanks for all the reviews it helped me a lot!"""
Exenatide,"Diabetes, Type 2","""Have completed eighth (8th) week of Bydureon injections. Med physician prescribed not approved by insurance carrier and this was their substitute after 2 weeks on previous.
No nausea at any point (was warned both by physician &amp; literature this would definitely occur).  Prior 2 week med controlled appetite, do not see where Bydureon has this effect.  First 4 or 5 weeks seen slight weight loss of less than 2 lb per week but this has subsided and actually the last 2 weeks have shown a reversal.
Will say have more positive outlook 4 days after injection &amp; this subsides.  Pharmacist said Bydureon has more of ingredient I need, however believe personally benefit daily rather than weekly injections.  Most likely will discuss this next Dr. visit"""
Victoza,"Diabetes, Type 2","""Great
Effective
Unbelievable"""
Dapagliflozin,"Diabetes, Type 2","""Started taking Farxiga while still taking metformin (3 X 800 daily).  Tried to wean off metformin and simply take Farxiga.  Bad decision.  Farxiga gave me dry mouth, made me thirsty, had negligible effect on my glucose levels and A1C.  Started to experience dizziness and then fainting while on Farxiga.  After a month, I went back to metformin.  Feel 1,000 percent better without being dizzy all of the time.  Not worth the expense for a drug that doesn&#039;t work"""
Liraglutide,"Diabetes, Type 2","""I just started taking Victoza about two weeks ago and I love it. When I was pregnant I had gestational diabetes and was on a special diet the whole time,  and it helped keep my blood sugars down. Now three years later I am having a problem again. I have a fertility issue that my sugars are naturally high, but thought I had it under control. After a week or so of not feeling good and taking my sugar and it was up to 250 I got a little scared and went to the Doctors. He put me on Victoza and since than I have more energy and have lost 5 pounds in the first week. I take it at night and have had no problems. I would definitely recommend this to anyone that can handle giving themselves the shot."""
"Insulin inhalation, rapid acting","Diabetes, Type 2","""Started on Afrezza 11/15 with an A1C of 7.6! First was one 4 unite 3X&#039;s a Day Before Meals! Then Moved 8 Unit 2X&#039;s &amp; 12 Unit 1X a Day ALL Before Meals! On 3/16/17 My A1C # drop to 7.2! I then Started the New Titration Pack that allows Inhaling Afrezza Before &amp; After each Meal or Up to 6X&#039;s a Day! After Just the First 11Days My A1C # DROP to 6.9! Today, Now 21 Days I Have Been on the New 180 Units Monthly Titration Pack Taking Before &amp; After each Meal My A1C is NOW 6.8 &amp; Dropping with NO SIDE EFFECTS! I Love Life Changing Afrezza Titration Pack! """
Apidra,"Diabetes, Type 2","""I have used Apidra for over 15 years. It allows me the freedom  to eat  at restaurants and family gatherings easily and comfortably."""
Victoza,"Diabetes, Type 2","""Victoza has been great for me. My numbers are 88 to 125 consistently. The first couple weeks were a little rough with the side effects but my body has adjusted the last 2 weeks. I am eating normal meals, snacking a little more and sleeping better. My A1c was 8.3 in June, gets checked again in November. Based on my blood sugar testing, I expect my A1c to be below 7. Thank you Victoza!!!"""
Bydureon,"Diabetes, Type 2","""I&#039;ve been taken Bydureon for 4 weeks now and have lost 5kg The only side effects I have had is heartburn and nausea and headaches but has stopped. I do recommended this drug to anyone. It does suppress the appetite really well I take it with Metformin 
I get it through Prescription which cost $5.60 a month"""
Bydureon,"Diabetes, Type 2","""Have been on Bydureon for 3 months. It is also the first medicine I&#039;ve been given for type 2 diabetes.  I was gaining weight, my blood sugar was out of site, and my A1C was sky high.  Since I started using Bydureon, my A1C went from 10 to 7 in 2 weeks.  In 3 months it has gone to 5.6.  I am never hungry. I was a sweet eater but now I can hardly stand sweets.  I have lost 15 pounds in 2 1/2 months."""
Afrezza,"Diabetes, Type 2","""Best medication ever."""
"Insulin inhalation, rapid acting","Diabetes, Type 1","""Thanks to Sanofi for giving me such a great product. Its doing miracles. NO MORE NEEDLES - this is much much better than traditional insulin. I have been using it for more than 6 months and I absolutely love it. I would highly recommend my diabetic friends to talk to your doctor about this. the only down side if you should have good lungs- no cancer etc . I am super excited . Wish you all luck."""
Liraglutide,"Diabetes, Type 2","""I am a nurse and I think Victoza is a great new medication . We have used it on all ages for type II diabetes. With great success, most patients love it! Of course there are a few that don&#039;t maintain the proper diet who have tried it and had no change. The main side effect was nausea, but worth a try. Good Luck !"""
Canagliflozin,"Diabetes, Type 2","""Been on Invokana for a week now. My blood sugars have been significantly reduced. I am also watching my diet, very low carbs. Still have not lost any weight, which was the reason why I was put on this medicine to begin with. My A1C went from a 9.9 to a 7.3 at last weeks endocirnologist appointment. I wonder if I should let this go for a bit longer. I had hoped to see some weight loss during this time, but haven&#039;t lost a pound. I have noticed only a slight increase in urination and haven&#039;t really been thirsty. Maybe it hasn&#039;t been long enough. Any ideas? Oh, and my insurance covered this right from the beginning. I didn&#039;t need the rebate card. That was nice."""
Toujeo,"Diabetes, Type 2","""I have taken TOUJEO for 1&amp;1/2 years now I have broken out with a rash &amp; itching over my entire body for the past three months. Told my doctor he said that can&#039;t happen with insulin.  I&#039;ve been to three doctors  all tell me the same. I STOPPED TAKEN TOUJEO The rash is starting to clear but it is slow in clearing. there is nothing that helps. ."""
Trulicity,"Diabetes, Type 2","""I started trulicity 3 weeks ago and have had no side effects at all a little nausea the first week but that is it my sugars always been double figures now they stay between the 4-7 mark i&#039;ve lost 11lbs and feel best I have in a long time I was afraid reading these reviews and put off taking this  two weeks after I collected it at the chemist I was that afraid lol my daughter talked me into giving it a go and Im so glad I did I have energy again and Im sleeping much better give it a go might just be what you need and everyone is different good luck!!"""
Glucotrol,"Diabetes, Type 2","""I was taking it for 7 days had uncontrollable itching, it controlled my sugar really well but the itching was awful."""
Tanzeum,"Diabetes, Type 2","""Dr gave me brochure for Tanzeum. It was new with no cost. Only pharmacy in San Antonio that had it was HEB pharmacy. 1 location only. 1st injection make me sick for a couple hours. 2nd injection was same. Sick for couple hours. 3rd injection worse. Diarrhea and flu like symptoms.  Talked with Dr. And he said take 4th injection and the medication needed to get into my system. After 4th final injection was really Ill. In bed for 3 days. Finally called health insurance and they said to go to emergency room. Checked out there and was told I was dehydrated and discharged me after given fluids. When I got up to leave I had a TIA  (stroke). Doctor said stroke caused by Tanzeum."""
Liraglutide,"Diabetes, Type 2","""I am on my second week of Victoza. Started taking the 1.2 dose today. Made me a little nauseated the first week. Today, not so much. I am a little constipated with the medicine though. No other side effects. So far, I&#039;m liking it. One shot a day instead of a pill twice a day works for me!"""
Liraglutide,"Diabetes, Type 2","""One month on the medicine.  Started with 10mg morning and evening of Glipizide in conjunction.  One week on the medicine and dropped the Glipizide.  Numbers stay in the 70-100 range.  This has changed my life.  Not sure about the weight loss aspect as I was already on a diet regimen that has led to 40lb weight loss."""
Liraglutide,"Diabetes, Type 2","""Food no longer taste all that great have to force myself to eat. My sugar levels are good 10 lb lost after 6 weeks (wife not happy). No side effects so far. Small meals are just great. Take home half plate from normal menu choice. Buffet no longer an option. Needles are tiny."""
Canagliflozin,"Diabetes, Type 2","""Been on Invokana for 3-4 months. Lower blood sugar numbers, I&#039;ve lowered my Lantus as a result and have lost 10 lbs. The weight lost is not instant, so to those who have been on it for a week and haven&#039;t lost weight, give it another week or so and the weight will start to come off. Do not have the dry mouth issue, do have the yeast infection issue, but have had that for a while now. Great medicine."""
Exenatide,"Diabetes, Type 2","""I took my first dose of bydureon last night. Today, I am in intense body wide pain, stomach cramping, diarrhea, headache and hives everywhere. My face, tongue and throat swelled. I just want to crawl in a hole and stay there. My doctor switched me to this because regular insulin burns on injection and worsens my neuropathy. I have tried all the pens and tablets on the market, but I react to them all. I can barely hold my head up as I write this."""
Bydureon,"Diabetes, Type 2","""I just started Bydureon a few days ago.  The needle was intimidating and while I did not get any lumps (so far) at the injection sight on my thigh, I bled a lot and bruised.  
Within an hour of my injection, I experienced heart palpitations, dizziness and extreme lethargy.  Then, the extreme vomiting started.  I vomited every 2 hours for 12 hours straight, it was terrible.  The next day, I was just a little nauseous but okay.  Now, I experience queasiness and loss of appetite.  I am nervous to take my next injection due to the extreme vomiting.  I am hoping the results are worth it."""
Victoza,"Diabetes, Type 2","""Started Victoza October 6th 2010. I have lost 13 lbs. I am having severe abdominal pain. I really need to lose this weight. I also am taking Actos. My blood sugar is now normal."""
Byetta,"Diabetes, Type 2","""My husband has been using Byetta in conjunction with Glucafage for 8 months and has lost 31 lbs and feels great.  The drug dropped his blood sugar level to normal levels and decreased his appetite."""
Sitagliptin,"Diabetes, Type 2","""I have been taking Sitagliptin combined with Metformin for about four years - slowly slowly my weight has dropped. I have had to make major changes to my diet to avoid being sick at about 4am every day. I am now starting to get significant pain in my joints and am probably going to come off the Sitagliptin for a month and see what happens. Overall Sitagliptin has been an excellent treatment for my reactive hyperglycemia."""
Onglyza,"Diabetes, Type 2","""I am on Onglyza and Metformin. I have much confidence in the Onglyza. I ran out of the drug for a week, and my sugar went sky high. My insurance may not cover Onglyza now and I am saddened by that. I trust this drug to keep my sugar in check."""
Victoza,"Diabetes, Type 2","""I&#039;ve been using Victoza since August 20th and I&#039;ve lost 7lbs.  My daytime sugars are finally at a normal range after always being in the 200&#039;s.  I take Lantus at night, but my morning fasting sugars are still slightly high.  The side effects haven&#039;t been so bad, only lasting a day or two.  Today I start my largest and final dosage of Victoza 1.8mg, we&#039;ll see how that goes."""
Dulaglutide,"Diabetes, Type 2","""I started trulicity 3 weeks ago and have had no side effects at all a little nausea the first week but that is it my sugars always been double figures now they stay between the 4-7 mark i&#039;ve lost 11lbs and feel best I have in a long time I was afraid reading these reviews and put off taking this  two weeks after I collected it at the chemist I was that afraid lol my daughter talked me into giving it a go and Im so glad I did I have energy again and Im sleeping much better give it a go might just be what you need and everyone is different good luck!!"""
Levemir,"Diabetes, Type 2","""I have been using Levemir for seven years now and find it to be a very user friendly, but as commented above I have found that a steady increase in dosage is needed to keep the effectiveness of the medicine."""
Pioglitazone,"Diabetes, Type 2","""I&#039;m simply amazed at how well this med has worked at controlling my glucose levels.

It has gotten my daily glucose readings, as well as my A1c, down to the point where my doc is concerned about hypoglycemia, and may start to reduce, or possible eliminate, one of my other diabetes meds.

Couldn&#039;t be happier."""
Exenatide,"Diabetes, Type 2","""I have been on Bydureon since November 2012 and 2000 mg metformin a day. I am pre diabetic, have hypothyroidism and polycystic ovarian syndrome variance. After much difficulty, this medicine has been a lifesaver! I have lost 51 lbs to date (235 to 184) and am feeling great! My a1c went from 6.5 to 5.7 in three months. I get new lab results next week. I did have side effects in the beginning but I stuck with it and it is fine now. No more nausea. Some diarrhea but I also have Irritable Bowel Syndrome. Good luck to anyone out there dealing with this."""
Invokana,"Diabetes, Type 2","""I was taking metformin for 7 years. Doc added januvia as a1c was climbing.  It did not work at all. Moved  to invokana and had immediate results.   Blood levels now normal and lowest in 7 years. Losing weight too.  Some thirst issues but not serious.   Fast level 110  after meal 140.  Only problem:  IT IS EXPENSIVE."""
Trulicity,"Diabetes, Type 2","""I have been taking Trulicity for 12 weeks and lost 8lbs and my sugars are the lowest they have ever been. I have not had an A1C done since I started this medication but I am sure it has dropped. I do experience some of the side effects such as nausea and tiredness and I have no appetite at all and when I do eat I am full very quickly. I am on the higher dose and I have reduced the amount of Lantus I take by 20units daily. I do experience morning lows a lot more but a glass of OJ helps. I am anxious to see my doctor and get an A1C done."""
Canagliflozin,"Diabetes, Type 2","""I&#039;ve been on this for a week, on 100mg dose, but this stuff is tearing me up. I am urinating frequently and every time it&#039;s an emergency run to the bathroom. I have to walk out of meetings at work. I used to have a bladder of steel. I wake up 3 times per night to pee.  My thirst is almost unbearable. After 1 week, both my wife and I have yeast infections. My penis is burning. Now, I also have diarrhea. I am a mess."""
Novolin 70 / 30,"Diabetes, Type 2","""I buy this insulin at for $28.88 ..the lowest price in the USA but u can only buy max 4 bottles at a time"""
Farxiga,"Diabetes, Type 2","""Started farxiga was already on metformin XR. At first I lost weight, blood sugars stayed the same, now increasing. Sugar levels stay high for some time. I have an increased thirst and frequent urination. Been on it for about a year. Now I have gained weight, suffered dehydration a couple times had to have an IV of fluids. A1c is climbing started out at 8.1 now 8.9. I woke up this morning with upper left quadrant pain. For the past two weeks have had smelly urine, almost acidic. Swelling of eyes and crusty eyelids. Hives on neck. Got tested for lupus was negative. Going to see the doctor as soon as I can get an appointment. Going to stop taking this med, now! I stopped and all side effects stopped. Thought I would give it a try one more time."""
Dulaglutide,"Diabetes, Type 2","""The first week I started trulicity I was very nauseous! I take xigduo and truly city. I really didn&#039;t want to eat, it made me thirsty, I was drinking plenty of water. The only side effect I had was the nausea, it felt like when was pregnant but after the first week it stopped. I&#039;ve lost 15 healthy pounds in 3 weeks with dieting and exercise. I recently became sick (unrelated to the medications) and had to stop taking my xigduo due IV contrast for the next two days, well my blood sugar numbers are still below 120 with trulicity alone. It&#039;s been working good for me."""
Dulaglutide,"Diabetes, Type 2","""September 2016 I tried the higher dose but could not tolerate it. Recently my doctor had me try the lower dose. I was able to tolerate it and then titrate to the higher dose. 
Initially the nausea and indigestion were significant but I waited it out and it got better. I lost 8 pounds the first month. Had I not started on the lower dose there is no possible way I could have used the medication. My sugars average 112 over the past month and those are not even fasting. I really like the medication. It&#039;s a matter of just toughing it out."""
Victoza,"Diabetes, Type 2","""I started Metformin 500 mg. 2 weeks ago and started .6 of Victoza 9 days later. My doctor gave me enough meds (Victoza) for 4 months! I&#039;ve dropped 12lbs but I feel horrible.  Fatigue,  nauseated and can&#039;t even stand the smell of food.  My fasting numbers were 270&#039;s and now they&#039;re low 140&#039;s and 130&#039;s.  I hope the horrible side effects resolve so these numbers will stabilize and I can drop at least  30 more pounds!"""
Sitagliptin,"Diabetes, Type 2","""I took januvia for about 1 year then one day my stomach started to swell up drastically  and my wife took me to the hospital when I arrived I could no longer walk and was put in a wheelchair. I was admitted but passed out, when I came to I had 4 I-V&#039;s in me and was totally soaked like I had just jumped in a pool. My white blood cell count was over 3,000, off the chart. One nurse accused me of overdosing on street drugs.. I was in the hospital for 3-1/2 days and spent 2 weeks on the couch and 2-3 months having people tell me I looked like I was dying and asked what was wrong. Januvia snuck up on me like a  poison snake. It overtook my system in 45 minutes from being with an irritable stomach to knowing I was dying and there was nothing I could do"""
Insulin isophane / insulin regular,"Diabetes, Type 2","""Little effect even at 20 units 2x a day."""
Tresiba,"Diabetes, Type 2","""I have not seen Tresiba do much of anything. I was on Lantus @ 60 units 2 sX daily, along with Metformin 1000mg 2 X daily and Victoza 1.8 mg 1 X.
I switched from Lantus to Tresiba @ 70 units daily, maintaining my other meds. My morning readings sky rocketed from 85-140 to 275- 340. My diet stayed basically the same. Over a period of 4 to 6 wks, I increased the Tresiba slowly and am now up to 110 units daily. NO CHANGE !!! THIS IS CRAZY. I&#039;m going to try one more increase to 120 units. 
I had to stop Lantus b/c my ins comp (PPG / CVS- Caremark) decided not to cover Lantus."""
Dulaglutide,"Diabetes, Type 2","""I&#039;m a horrible diabetic.  I eat anything I want and never check my sugar. I&#039;ve been on Trulicity for approx. 8 mos and I think its a  wonder drug.  My A1C was 7 and I eat sweets and quit exercising because of surgery and it still went down. I take 26U of Levemir  but guessing that will be cut down. I didn&#039;t realize the Trulicity dose had been increased two months ago, but am relieved to know. I thought I was dying due to uncontrolled diarrhea and public accidents. Horrifying, but am adjusting to increased dose and can&#039;t wait until next week to see what my A1C is. I hate taking medication and do have side effects, but usually adjust after a period and feel pretty good. Much better than having an A1C over 9, and high sugars. Don&#039;t give up."""
Miglitol,"Diabetes, Type 2","""Good medicine."""
Liraglutide,"Diabetes, Type 2","""I&#039;m a 35 year old woman with PCOS, pre diabetes and high resistance to weight loss. Started Victoza 7/14/17. Sugars now in normal range and I&#039;ve lost 16 lbs so far! Side effects included some stomach pain/cramping at first that has now eased up. I eat less and stay away from heavy/greasy foods to avoid side effects. I find that I always feel full. Never hungry. Occasional constipation, nothing too bad.  Overall I&#039;m very pleased to finally be losing weight and getting my sugars under control!  I started at .6 ml and now am at 1.8. I find the dosing easy and painless. I&#039;m excited to see how this affects my A1c thrilled the scale is finally moving in the right direction!  I&#039;ll update in a few weeks."""
Trulicity,"Diabetes, Type 2","""On week five of trulicity.. The first night I was beyond exhausted went to bed at 7pm slept all night.. Week 1 had every symptom and was so sick vomiting, diarrhea and this deep gut burping that smelled horrible.. Week 2 was better but week 3-5 are hit and miss. I have lost about ten pounds mainly due to little to no appetite. I take my shot on Tuesday and I vomit every Saturday. I miss about 1 day of work a week due to feeling horrible and dizzy. This drug is horrible but my sugar with other meds is down to 7 from 9.8 in 3 months.. The burping is the worst it&#039;s like rotten eggs...so gross."""
Repaglinide,"Diabetes, Type 2","""Took metformin to no effect for six years. In six weeks Prandin has dropped me into the 90s, something I thought I would never see.  Doctor admits being surprised by the results and has taken me off insulin pen. Overall results are remarkable.  Supposed to take three 0.5 mg but usually just take two, three knocks me down to where I have to eat ice cream. That&#039;s not so bad though, just unexpected."""
